n,avg_age_comp,avg_name_comp,avg_combined_comp,avg_age_assign,avg_name_assign,avg_combined_assign
10,27.60,29.70,54.80,37.80,40.10,75.60
20,108.60,110.90,218.10,129.60,131.90,260.50
30,228.50,231.20,462.10,259.40,262.60,524.00
40,390.50,396.30,788.10,431.50,437.40,869.60
50,623.40,640.70,1240.30,674.70,692.20,1342.60
60,860.00,890.10,1746.30,922.00,952.00,1869.40
70,1253.40,1178.80,2427.30,1324.60,1250.30,2570.30
80,1514.90,1594.70,3048.80,1596.30,1676.70,3211.80
90,1988.30,1909.70,3950.70,2080.00,2000.60,4134.10
100,2410.60,2402.20,4823.70,2511.50,2503.10,5025.70
