customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15633897,725,Germany,Male,39,1,50880.98,2,1,1,184023.54,0
15751455,469,France,Female,48,5,0,1,1,0,160529.71,1
15597602,619,Germany,Male,57,3,137946.39,1,1,1,72467.99,1
15696175,602,Germany,Male,35,7,90602.42,2,1,1,51695.41,0
15654489,843,France,Female,38,8,134887.53,1,1,1,10804.04,0
15632069,776,France,Male,39,8,125211.55,2,1,0,144496.07,0
15641934,749,Spain,Female,46,9,66582.81,1,1,0,78753.12,1
15717328,842,France,Female,37,4,132446.08,2,1,0,87071.18,1
15701175,493,France,Female,33,8,90791.69,1,1,1,59659.53,0
15795564,737,Germany,Male,31,5,121192.22,2,1,1,74890.58,0
15673907,659,France,Male,20,8,0,2,0,0,112572.02,0
15759244,687,Germany,Male,44,8,95368.14,2,1,1,1787.85,0
15608230,667,France,Male,23,1,0,2,1,0,91573.19,0
15677512,628,Spain,Female,22,3,0,1,1,0,85426.28,0
15702442,586,Germany,Female,56,9,100781.75,2,1,1,54448.41,0
15711716,580,France,Female,56,1,131368.3,1,1,0,106918.67,1
15720774,850,Spain,Male,44,7,89118.26,1,1,0,104240.77,1
15662641,850,France,Male,19,8,0,1,1,1,68569.89,0
15665378,499,France,Female,46,6,0,2,1,0,73457.55,0
15571281,651,France,Male,28,10,79562.98,1,1,1,74687.37,0
15796993,741,France,Male,52,1,171236.3,2,0,0,21834.40,1
15659236,781,Spain,Male,33,3,0,2,1,1,42556.33,0
15616152,754,France,Female,47,1,185513.67,1,1,0,27438.83,0
15585580,796,Germany,Female,52,9,167194.36,1,1,1,62808.93,1
15782758,632,France,Male,40,5,147650.68,1,1,1,199674.83,0
15694129,569,Germany,Female,28,3,100032.52,1,1,0,5159.21,1
15768746,561,France,Male,33,6,0,2,0,0,173680.39,0
15736371,633,France,Female,34,3,123034.43,2,1,1,38315.04,0
15813163,531,Spain,Female,36,9,99240.51,1,1,0,123137.01,0
15723028,778,France,Male,33,1,0,2,1,0,85439.73,0
15774854,592,France,Male,54,8,0,1,1,1,28737.71,1
15738785,545,France,Male,26,7,0,2,0,1,156598.23,0
15771409,586,France,Male,58,7,151933.63,1,1,0,162960.05,1
15599722,609,Spain,Female,43,6,86053.52,2,1,1,113276.46,1
15730447,629,France,Female,49,4,0,2,1,1,196335.48,0
15586133,666,Germany,Female,44,2,122314.5,1,0,0,68574.88,1
15642655,731,Spain,Male,33,1,0,1,1,0,130726.96,0
15689980,725,Spain,Female,36,4,118520.26,1,0,0,131173.90,1
15799966,792,Germany,Female,59,9,101609.77,1,0,0,161479.19,1
15653147,594,France,Male,35,2,133853.27,1,1,1,65361.66,0
15714750,690,France,Female,42,3,92578.14,2,0,0,70810.60,0
15571958,489,Spain,Male,40,3,221532.8,1,1,0,171867.08,0
15774277,809,France,Male,43,2,0,2,1,1,132908.07,0
15793042,629,France,Male,39,2,129669.32,2,1,0,82774.07,0
15620344,813,France,Male,29,6,0,1,1,0,33953.87,0
15672053,526,Spain,Male,38,2,0,2,0,0,58010.98,0
15732987,721,Spain,Male,43,3,88798.34,1,0,0,45610.63,0
15740383,594,Spain,Female,38,10,0,2,1,0,58332.91,0
15734674,593,France,Female,41,6,0,1,1,0,65170.66,0
15789498,562,France,Male,30,3,111099.79,2,0,0,140650.19,0
15790599,756,Germany,Female,39,5,149363.12,2,1,1,109098.39,0
15605284,688,France,Male,26,1,0,2,1,1,104435.94,0
15650575,720,Spain,Female,59,6,0,2,1,1,160849.43,1
15611756,537,Germany,Female,47,4,124192.28,2,1,1,50881.51,0
15804072,701,Spain,Female,42,5,0,2,0,0,24210.56,0
15588449,591,Spain,Female,27,5,107812.67,1,0,1,162501.83,1
15685243,736,France,Female,63,10,0,2,0,1,502.70,0
15693893,684,Germany,Male,59,9,122471.09,1,0,1,15807.07,0
15714466,846,France,Female,41,5,0,3,1,0,3440.47,1
15808905,823,France,Male,37,5,164858.18,1,1,1,173516.71,0
15715031,600,France,Female,28,6,0,2,0,1,52193.23,0
15606944,645,Germany,Male,43,9,140121.17,1,1,0,11302.70,1
15666633,758,Spain,Male,56,1,0,2,1,1,10643.38,0
15647306,777,France,Female,29,9,131240.61,1,1,1,163746.09,1
15621644,678,Germany,Male,83,6,123356.63,1,0,1,92934.41,0
15573798,448,France,Female,36,6,83947.12,2,1,0,81999.53,0
15579131,835,France,Male,25,7,0,2,1,1,83449.65,0
15708003,587,Spain,Male,41,8,85109.21,1,1,0,1557.82,0
15698528,599,Spain,Female,31,3,0,1,1,1,130086.47,1
15686611,495,France,Male,30,10,129755.99,1,0,0,172749.65,0
