n,dataset,comparisons
10,1,21
10,2,24
10,3,28
10,4,25
10,5,23
10,6,35
10,7,24
10,8,31
10,9,30
10,10,31
20,1,75
20,2,77
20,3,73
20,4,84
20,5,63
20,6,65
20,7,77
20,8,71
20,9,62
20,10,66
30,1,132
30,2,132
30,3,109
30,4,126
30,5,139
30,6,137
30,7,110
30,8,113
30,9,121
30,10,145
40,1,191
40,2,189
40,3,212
40,4,168
40,5,198
40,6,195
40,7,181
40,8,179
40,9,166
40,10,167
50,1,250
50,2,241
50,3,273
50,4,264
50,5,239
50,6,265
50,7,256
50,8,274
50,9,252
50,10,273
60,1,361
60,2,325
60,3,327
60,4,327
60,5,368
60,6,395
60,7,347
60,8,370
60,9,359
60,10,391
70,1,477
70,2,437
70,3,451
70,4,392
70,5,424
70,6,459
70,7,400
70,8,458
70,9,473
70,10,415
80,1,563
80,2,574
80,3,467
80,4,528
80,5,474
80,6,583
80,7,578
80,8,471
80,9,553
80,10,502
90,1,564
90,2,553
90,3,660
90,4,636
90,5,685
90,6,632
90,7,589
90,8,699
90,9,707
90,10,683
100,1,698
100,2,762
100,3,738
100,4,697
100,5,707
100,6,682
100,7,814
100,8,744
100,9,702
100,10,692
