n,dataset,assignments
10,1,51
10,2,60
10,3,36
10,4,60
10,5,39
10,6,84
10,7,60
10,8,33
10,9,81
10,10,60
20,1,165
20,2,162
20,3,135
20,4,243
20,5,141
20,6,153
20,7,207
20,8,171
20,9,147
20,10,129
30,1,273
30,2,306
30,3,255
30,4,273
30,5,378
30,6,261
30,7,267
30,8,291
30,9,288
30,10,315
40,1,471
40,2,510
40,3,384
40,4,417
40,5,453
40,6,465
40,7,429
40,8,327
40,9,411
40,10,420
50,1,558
50,2,570
50,3,597
50,4,690
50,5,525
50,6,636
50,7,600
50,8,564
50,9,678
50,10,756
60,1,897
60,2,789
60,3,870
60,4,822
60,5,825
60,6,801
60,7,867
60,8,888
60,9,777
60,10,933
70,1,999
70,2,1068
70,3,1272
70,4,894
70,5,954
70,6,1158
70,7,948
70,8,1101
70,9,1125
70,10,990
80,1,1308
80,2,1446
80,3,1068
80,4,1458
80,5,1167
80,6,1395
80,7,1356
80,8,1140
80,9,1371
80,10,1161
90,1,1440
90,2,1338
90,3,1602
90,4,1722
90,5,1686
90,6,1608
90,7,1431
90,8,1746
90,9,1716
90,10,1611
100,1,1791
100,2,1980
100,3,1674
100,4,1851
100,5,1671
100,6,1695
100,7,2028
100,8,1824
100,9,1503
100,10,1809
