n,dataset,comparisons
10,1,25
10,2,24
10,3,21
10,4,20
10,5,21
10,6,25
10,7,33
10,8,23
10,9,23
10,10,20
20,1,68
20,2,66
20,3,73
20,4,84
20,5,89
20,6,77
20,7,74
20,8,87
20,9,104
20,10,77
30,1,152
30,2,131
30,3,121
30,4,132
30,5,118
30,6,126
30,7,148
30,8,122
30,9,119
30,10,141
40,1,186
40,2,207
40,3,183
40,4,189
40,5,261
40,6,176
40,7,189
40,8,247
40,9,200
40,10,194
50,1,320
50,2,301
50,3,228
50,4,295
50,5,267
50,6,255
50,7,266
50,8,267
50,9,304
50,10,245
60,1,380
60,2,297
60,3,349
60,4,319
60,5,360
60,6,344
60,7,435
60,8,331
60,9,321
60,10,359
70,1,459
70,2,422
70,3,383
70,4,395
70,5,401
70,6,406
70,7,399
70,8,457
70,9,459
70,10,442
80,1,538
80,2,572
80,3,598
80,4,550
80,5,491
80,6,515
80,7,599
80,8,548
80,9,606
80,10,556
90,1,614
90,2,674
90,3,648
90,4,671
90,5,611
90,6,545
90,7,604
90,8,532
90,9,594
90,10,573
100,1,930
100,2,714
100,3,756
100,4,770
100,5,702
100,6,676
100,7,725
100,8,710
100,9,849
100,10,778
