n,dataset,assignments
10,1,57
10,2,42
10,3,57
10,4,54
10,5,45
10,6,78
10,7,54
10,8,69
10,9,72
10,10,51
20,1,123
20,2,114
20,3,168
20,4,201
20,5,270
20,6,153
20,7,156
20,8,153
20,9,213
20,10,165
30,1,414
30,2,300
30,3,198
30,4,330
30,5,312
30,6,252
30,7,411
30,8,276
30,9,264
30,10,381
40,1,432
40,2,531
40,3,477
40,4,462
40,5,591
40,6,390
40,7,402
40,8,585
40,9,489
40,10,333
50,1,813
50,2,723
50,3,558
50,4,699
50,5,567
50,6,642
50,7,552
50,8,642
50,9,678
50,10,585
60,1,963
60,2,678
60,3,849
60,4,798
60,5,852
60,6,807
60,7,1245
60,8,750
60,9,816
60,10,747
70,1,1089
70,2,768
70,3,924
70,4,891
70,5,1023
70,6,1011
70,7,996
70,8,1074
70,9,1032
70,10,1083
80,1,1461
80,2,1017
80,3,1260
80,4,1221
80,5,1281
80,6,1290
80,7,1377
80,8,1155
80,9,1560
80,10,1362
90,1,1461
90,2,1629
90,3,1512
90,4,1824
90,5,1239
90,6,1401
90,7,1587
90,8,1311
90,9,1518
90,10,1380
100,1,2271
100,2,1887
100,3,1839
100,4,1875
100,5,1707
100,6,1593
100,7,1767
100,8,1740
100,9,1809
100,10,1992
