n,dataset,comparisons
10,1,31
10,2,26
10,3,28
10,4,22
10,5,23
10,6,27
10,7,35
10,8,25
10,9,23
10,10,26
20,1,75
20,2,86
20,3,88
20,4,90
20,5,85
20,6,86
20,7,81
20,8,87
20,9,98
20,10,85
30,1,174
30,2,148
30,3,152
30,4,161
30,5,136
30,6,147
30,7,162
30,8,162
30,9,139
30,10,170
40,1,237
40,2,236
40,3,208
40,4,214
40,5,282
40,6,216
40,7,222
40,8,250
40,9,240
40,10,234
50,1,365
50,2,317
50,3,279
50,4,297
50,5,345
50,6,282
50,7,314
50,8,269
50,9,333
50,10,288
60,1,412
60,2,432
60,3,421
60,4,377
60,5,396
60,6,374
60,7,466
60,8,371
60,9,389
60,10,423
70,1,520
70,2,617
70,3,458
70,4,473
70,5,510
70,6,456
70,7,489
70,8,555
70,9,535
70,10,560
80,1,646
80,2,731
80,3,650
80,4,678
80,5,605
80,6,591
80,7,671
80,8,603
80,9,565
80,10,605
90,1,643
90,2,696
90,3,820
90,4,707
90,5,799
90,6,639
90,7,656
90,8,626
90,9,699
90,10,693
100,1,1016
100,2,812
100,3,749
100,4,937
100,5,767
100,6,857
100,7,878
100,8,715
100,9,826
100,10,792
