n,dataset,assignments
10,1,69
10,2,42
10,3,48
10,4,54
10,5,45
10,6,72
10,7,54
10,8,69
10,9,60
10,10,54
20,1,129
20,2,108
20,3,165
20,4,174
20,5,192
20,6,144
20,7,141
20,8,159
20,9,168
20,10,111
30,1,324
30,2,234
30,3,189
30,4,318
30,5,282
30,6,243
30,7,294
30,8,312
30,9,231
30,10,351
40,1,402
40,2,411
40,3,321
40,4,366
40,5,312
40,6,282
40,7,306
40,8,444
40,9,348
40,10,339
50,1,705
50,2,516
50,3,420
50,4,441
50,5,522
50,6,453
50,7,513
50,8,372
50,9,534
50,10,474
60,1,726
60,2,642
60,3,630
60,4,585
60,5,573
60,6,495
60,7,930
60,8,558
60,9,600
60,10,567
70,1,723
70,2,927
70,3,528
70,4,615
70,5,822
70,6,741
70,7,825
70,8,705
70,9,768
70,10,816
80,1,1119
80,2,942
80,3,831
80,4,963
80,5,963
80,6,936
80,7,891
80,8,837
80,9,822
80,10,999
90,1,834
90,2,1038
90,3,1089
90,4,1245
90,5,912
90,6,1005
90,7,1023
90,8,894
90,9,1035
90,10,945
100,1,1506
100,2,1251
100,3,963
100,4,1389
100,5,1134
100,6,990
100,7,1524
100,8,1038
100,9,918
100,10,1131
