customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15786463,645,Germany,Female,59,8,121669.93,2,0,0,91.75,1
15709004,528,Germany,Male,22,5,93547.23,2,0,1,961.57,0
15720910,560,France,Female,66,9,0,1,1,1,15928.49,0
15720662,787,France,Female,35,1,106266.8,1,1,1,16607.15,0
15582116,767,Germany,Female,45,7,132746.2,2,1,0,26628.88,1
15568834,698,Spain,Male,27,6,125427.37,2,0,0,27654.44,0
15784320,632,France,Female,44,3,133793.89,1,1,1,34607.14,1
15658532,520,Spain,Female,63,5,162278.32,1,1,1,34765.33,0
15594409,710,France,Male,45,1,0,2,1,1,36154.66,0
15592104,655,France,Female,41,5,0,1,0,0,36548.00,1
15583353,610,Spain,Female,45,3,0,1,1,0,38276.84,1
15731281,704,Germany,Female,35,3,154206.07,2,1,1,40261.49,0
15786454,552,Spain,Male,55,3,0,1,1,1,40333.94,0
15626806,668,France,Female,32,2,0,2,1,1,40652.33,0
15625092,502,Germany,Female,57,3,101465.31,1,1,0,43568.31,1
15588695,833,Spain,Male,32,6,0,1,1,1,44323.22,1
15590676,735,France,Male,34,1,141796.43,1,1,0,45858.49,0
15618695,571,Spain,Female,22,3,108117.1,1,0,1,53328.70,0
15672912,737,Spain,Female,39,7,130051.66,2,0,0,55356.39,1
15794159,633,France,Female,26,8,124281.84,1,1,1,60116.57,0
15801188,774,France,Female,47,6,94722.88,1,0,1,61450.96,0
15725028,679,France,Male,29,3,0,2,1,1,63687.06,0
15673481,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0
15714391,563,France,Female,35,2,183572.84,1,1,1,66006.75,1
15702788,775,France,Male,40,9,126212.64,1,1,0,70196.57,0
15575694,729,Spain,Female,45,7,91091.06,2,1,0,71133.12,0
15630413,608,France,Female,41,5,0,2,1,1,72462.25,0
15665678,607,Spain,Male,36,8,158261.68,1,1,1,76744.72,0
15660147,493,Spain,Male,32,8,46161.18,1,1,1,79577.40,0
15617877,607,France,Male,44,0,0,2,1,1,81140.09,0
15615020,595,Germany,Female,41,9,150463.11,2,0,1,81548.38,0
15643819,714,France,Female,25,4,0,2,0,0,82500.84,0
15735688,753,France,Female,31,6,106596.29,1,0,0,91305.77,0
15570508,600,France,Male,49,7,90218.9,1,1,0,91347.76,0
15752857,452,Germany,Male,52,1,98443.14,2,0,0,92033.98,0
15630592,516,France,Female,45,4,0,1,1,0,95273.73,1
15774250,532,France,Male,42,1,159024.71,1,1,0,100982.93,1
15764922,596,Spain,Male,20,3,187294.46,1,1,0,103456.47,0
15789714,691,Spain,Male,21,3,103000.94,1,1,1,104648.58,0
15645511,727,Spain,Male,43,2,97403.18,1,1,1,107415.02,1
15734850,676,Spain,Male,36,1,82729.49,1,1,0,113810.12,0
15699284,584,France,Male,49,8,172713.44,1,1,0,113860.81,0
15815295,662,France,Female,38,2,96479.81,1,1,0,120259.41,0
15689237,471,France,Female,27,4,0,2,1,0,122642.09,0
15789941,633,France,Female,36,6,125130.28,1,0,0,125961.48,0
15812628,453,Germany,Female,38,8,120623.21,1,1,0,129697.99,0
15713463,645,Germany,Female,41,2,138881.04,1,1,0,129936.53,1
15634974,614,France,Female,37,8,75150.34,4,0,1,131766.67,1
15796313,662,France,Female,36,4,166909.2,2,1,0,138871.12,1
15774744,664,Germany,Male,33,7,97286.16,2,1,0,143433.33,0
15586029,806,Germany,Male,34,2,96152.68,2,1,0,143711.02,0
15749365,543,France,Female,34,8,0,2,0,1,145601.80,0
15633834,700,Germany,Female,28,3,99705.69,2,0,0,146723.72,0
15660316,420,Germany,Female,34,1,135549.9,1,0,0,149471.13,1
15785519,565,France,Male,36,6,106192.1,1,1,0,149575.59,0
15585777,710,France,Male,38,3,130588.82,1,1,1,154997.64,0
15784148,643,France,Male,62,9,0,2,0,0,155870.82,0
15713644,686,Spain,Male,22,5,0,2,1,0,158974.45,0
15653306,679,Germany,Female,32,0,88335.05,1,0,0,159584.81,0
15808389,617,France,Female,79,7,0,1,1,1,160589.18,0
15622003,745,France,Male,35,9,92566.53,2,1,0,161519.77,0
15711572,705,Germany,Female,31,9,110941.93,2,1,0,163484.80,0
15757521,606,France,Male,35,2,132164.26,1,0,1,164815.59,0
15777826,643,France,Male,30,5,94443.77,1,1,1,165614.40,0
15617065,650,Spain,Male,42,4,194532.66,1,1,0,171045.31,1
15654457,685,Spain,Female,30,2,0,3,1,1,172576.43,1
15747542,605,France,Male,52,7,0,2,1,1,173952.50,0
15581968,745,France,Female,33,1,0,2,1,1,174431.01,0
15629323,617,Germany,Female,37,4,116471.43,2,1,0,175324.74,1
15787255,650,Germany,Female,55,2,140891.46,3,1,1,179834.45,1
15704378,655,Germany,Male,37,9,121342.24,1,1,1,180241.44,0
15721779,826,Spain,Male,41,5,146466.46,2,0,0,180934.67,0
15689288,630,France,Female,26,5,0,2,1,0,182612.38,0
15574910,601,France,Male,50,2,115625.07,1,1,0,185855.21,0
15791326,566,France,Male,34,3,0,1,0,0,188135.69,0
15665159,727,France,Male,61,0,128213.96,2,1,1,188729.08,1
15566312,660,Spain,Female,42,5,0,3,1,1,189016.24,1
15578722,689,France,Male,39,4,0,2,1,0,196112.45,0
15695475,645,France,Male,29,1,130131.08,2,0,1,196474.35,0
15650432,849,Germany,Male,41,10,84622.13,1,1,1,198072.16,0
