n,avg_age_comp,avg_name_comp,avg_combined_comp,avg_age_assign,avg_name_assign,avg_combined_assign
10,27.20,23.50,26.60,56.40,57.90,56.70
20,71.30,79.90,86.10,165.30,171.60,149.10
30,126.40,131.00,155.10,290.70,313.80,277.80
40,184.60,203.20,233.90,428.70,469.20,353.10
50,258.70,274.80,308.90,617.40,645.90,495.00
60,357.00,349.50,406.10,846.90,850.50,630.60
70,438.60,422.30,517.30,1050.90,989.10,747.00
80,529.30,557.30,634.50,1287.00,1298.40,930.30
90,640.80,606.60,697.80,1590.00,1486.20,1002.00
100,723.60,761.00,834.90,1782.60,1848.00,1184.40
