n,dataset,comparisons
10,1,33
10,2,31
10,3,34
10,4,29
10,5,28
10,6,31
10,7,30
10,8,20
10,9,21
10,10,28
20,1,141
20,2,100
20,3,110
20,4,108
20,5,104
20,6,76
20,7,100
20,8,124
20,9,120
20,10,126
30,1,246
30,2,247
30,3,248
30,4,248
30,5,220
30,6,237
30,7,177
30,8,187
30,9,261
30,10,245
40,1,396
40,2,389
40,3,292
40,4,355
40,5,427
40,6,366
40,7,399
40,8,412
40,9,380
40,10,375
50,1,578
50,2,504
50,3,654
50,4,652
50,5,550
50,6,629
50,7,687
50,8,578
50,9,512
50,10,711
60,1,951
60,2,791
60,3,694
60,4,778
60,5,807
60,6,1005
60,7,896
60,8,945
60,9,861
60,10,986
70,1,1409
70,2,1265
70,3,1281
70,4,1265
70,5,1308
70,6,1215
70,7,1118
70,8,1161
70,9,1084
70,10,1169
80,1,1616
80,2,1461
80,3,1384
80,4,1679
80,5,1551
80,6,1624
80,7,1502
80,8,1545
80,9,1411
80,10,1640
90,1,2020
90,2,1877
90,3,1967
90,4,1722
90,5,2046
90,6,2000
90,7,1903
90,8,1902
90,9,2101
90,10,1850
100,1,2434
100,2,2509
100,3,2530
100,4,2376
100,5,2451
100,6,2397
100,7,2275
100,8,2306
100,9,2379
100,10,2365
