n,dataset,assignments
10,1,44
10,2,41
10,3,48
10,4,40
10,5,39
10,6,43
10,7,41
10,8,30
10,9,31
10,10,39
20,1,163
20,2,120
20,3,132
20,4,128
20,5,126
20,6,98
20,7,121
20,8,145
20,9,141
20,10,146
30,1,279
30,2,278
30,3,278
30,4,280
30,5,250
30,6,269
30,7,209
30,8,216
30,9,292
30,10,276
40,1,437
40,2,429
40,3,332
40,4,396
40,5,467
40,6,406
40,7,440
40,8,453
40,9,421
40,10,415
50,1,630
50,2,555
50,3,705
50,4,705
50,5,602
50,6,681
50,7,737
50,8,631
50,9,563
50,10,762
60,1,1012
60,2,853
60,3,756
60,4,840
60,5,868
60,6,1067
60,7,956
60,8,1006
60,9,921
60,10,1046
70,1,1482
70,2,1334
70,3,1353
70,4,1337
70,5,1379
70,6,1284
70,7,1189
70,8,1232
70,9,1155
70,10,1240
80,1,1695
80,2,1543
80,3,1466
80,4,1762
80,5,1632
80,6,1704
80,7,1583
80,8,1625
80,9,1493
80,10,1721
90,1,2111
90,2,1968
90,3,2058
90,4,1813
90,5,2135
90,6,2090
90,7,1993
90,8,1994
90,9,2193
90,10,1941
100,1,2536
100,2,2611
100,3,2633
100,4,2479
100,5,2550
100,6,2501
100,7,2378
100,8,2407
100,9,2481
100,10,2466
