n,dataset,comparisons
10,1,21
10,2,29
10,3,26
10,4,28
10,5,35
10,6,28
10,7,30
10,8,20
10,9,29
10,10,20
20,1,108
20,2,139
20,3,104
20,4,86
20,5,115
20,6,82
20,7,112
20,8,112
20,9,79
20,10,88
30,1,292
30,2,233
30,3,204
30,4,269
30,5,276
30,6,239
30,7,244
30,8,217
30,9,191
30,10,262
40,1,428
40,2,359
40,3,403
40,4,441
40,5,407
40,6,483
40,7,385
40,8,393
40,9,387
40,10,468
50,1,587
50,2,687
50,3,652
50,4,668
50,5,693
50,6,672
50,7,745
50,8,590
50,9,632
50,10,654
60,1,803
60,2,923
60,3,966
60,4,766
60,5,855
60,6,891
60,7,776
60,8,800
60,9,767
60,10,740
70,1,1171
70,2,1274
70,3,1117
70,4,1291
70,5,1333
70,6,1159
70,7,1171
70,8,1213
70,9,1243
70,10,1135
80,1,1747
80,2,1486
80,3,1521
80,4,1449
80,5,1470
80,6,1560
80,7,1329
80,8,1728
80,9,1368
80,10,1675
90,1,2071
90,2,1742
90,3,1975
90,4,1766
90,5,1956
90,6,1950
90,7,2062
90,8,1972
90,9,2044
90,10,1949
100,1,2682
100,2,2527
100,3,2508
100,4,2534
100,5,2376
100,6,2307
100,7,2291
100,8,1956
100,9,2596
100,10,2601
