n,dataset,assignments
10,1,31
10,2,41
10,3,37
10,4,38
10,5,45
10,6,39
10,7,41
10,8,30
10,9,40
10,10,32
20,1,128
20,2,162
20,3,125
20,4,106
20,5,134
20,6,102
20,7,133
20,8,134
20,9,100
20,10,108
30,1,324
30,2,263
30,3,234
30,4,300
30,5,309
30,6,271
30,7,273
30,8,248
30,9,223
30,10,295
40,1,468
40,2,401
40,3,442
40,4,481
40,5,449
40,6,525
40,7,427
40,8,434
40,9,430
40,10,509
50,1,638
50,2,740
50,3,705
50,4,718
50,5,745
50,6,724
50,7,797
50,8,643
50,9,682
50,10,706
60,1,865
60,2,982
60,3,1028
60,4,829
60,5,917
60,6,952
60,7,838
60,8,862
60,9,827
60,10,800
70,1,1242
70,2,1346
70,3,1189
70,4,1363
70,5,1404
70,6,1229
70,7,1240
70,8,1284
70,9,1314
70,10,1208
80,1,1829
80,2,1566
80,3,1601
80,4,1530
80,5,1552
80,6,1640
80,7,1409
80,8,1809
80,9,1448
80,10,1757
90,1,2161
90,2,1833
90,3,2067
90,4,1856
90,5,2046
90,6,2044
90,7,2153
90,8,2062
90,9,2135
90,10,2041
100,1,2783
100,2,2628
100,3,2609
100,4,2634
100,5,2478
100,6,2407
100,7,2395
100,8,2055
100,9,2697
100,10,2704
