n,dataset,comparisons
10,1,61
10,2,63
10,3,57
10,4,65
10,5,61
10,6,64
10,7,50
10,8,41
10,9,52
10,10,58
20,1,247
20,2,220
20,3,214
20,4,217
20,5,226
20,6,165
20,7,195
20,8,221
20,9,237
20,10,245
30,1,474
30,2,436
30,3,492
30,4,491
30,5,455
30,6,464
30,7,421
30,8,423
30,9,478
30,10,505
40,1,810
40,2,827
40,3,736
40,4,777
40,5,835
40,6,837
40,7,803
40,8,795
40,9,711
40,10,785
50,1,1144
50,2,1107
50,3,1301
50,4,1214
50,5,1084
50,6,1312
50,7,1271
50,8,1207
50,9,1107
50,10,1282
60,1,1695
60,2,1610
60,3,1626
60,4,1630
60,5,1682
60,6,1851
60,7,1741
60,8,1823
60,9,1675
60,10,1974
70,1,2720
70,2,2558
70,3,2272
70,4,2414
70,5,2501
70,6,2388
70,7,2215
70,8,2303
70,9,2222
70,10,2336
80,1,3327
80,2,2917
80,3,2869
80,4,3197
80,5,3056
80,6,3278
80,7,3030
80,8,2966
80,9,3017
80,10,3215
90,1,3945
90,2,3775
90,3,4154
90,4,3594
90,5,4118
90,6,3953
90,7,3699
90,8,3914
90,9,4139
90,10,3971
100,1,4663
100,2,5093
100,3,4818
100,4,4821
100,5,4751
100,6,4791
100,7,4876
100,8,4835
100,9,4976
100,10,4832
