n,dataset,assignments
10,1,83
10,2,84
10,3,80
10,4,88
10,5,82
10,6,86
10,7,73
10,8,60
10,9,75
10,10,81
20,1,290
20,2,261
20,3,257
20,4,258
20,5,268
20,6,207
20,7,237
20,8,262
20,9,280
20,10,285
30,1,536
30,2,499
30,3,553
30,4,554
30,5,517
30,6,526
30,7,484
30,8,484
30,9,540
30,10,568
40,1,891
40,2,907
40,3,818
40,4,860
40,5,915
40,6,919
40,7,884
40,8,878
40,9,792
40,10,869
50,1,1246
50,2,1209
50,3,1404
50,4,1316
50,5,1186
50,6,1415
50,7,1371
50,8,1312
50,9,1209
50,10,1384
60,1,1818
60,2,1736
60,3,1749
60,4,1753
60,5,1803
60,6,1973
60,7,1863
60,8,1944
60,9,1797
60,10,2095
70,1,2865
70,2,2699
70,3,2415
70,4,2558
70,5,2644
70,6,2528
70,7,2356
70,8,2445
70,9,2365
70,10,2478
80,1,3490
80,2,3079
80,3,3032
80,4,3360
80,5,3217
80,6,3439
80,7,3192
80,8,3129
80,9,3180
80,10,3377
90,1,4128
90,2,3957
90,3,4334
90,4,3778
90,5,4300
90,6,4135
90,7,3880
90,8,4097
90,9,4321
90,10,4155
100,1,4866
100,2,5296
100,3,5023
100,4,5024
100,5,4955
100,6,4994
100,7,5081
100,8,5036
100,9,5180
100,10,5036
