customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15795124,726,Germany,Male,50,9,94504.35,1,0,1,5078.90,0
15626156,655,France,Female,60,3,0,2,1,1,86981.45,0
15762543,711,France,Female,32,1,0,2,1,0,126188.42,0
15773789,594,Spain,Female,38,7,96858.35,1,1,0,77511.45,0
15655229,850,Germany,Female,35,7,114285.2,1,0,1,129660.59,0
15730150,540,Spain,Male,37,0,120825.7,1,1,0,28257.89,0
15775067,606,France,Male,47,3,93578.68,2,0,1,137720.56,1
15791191,633,France,Male,59,2,103996.74,1,1,1,103159.11,0
15639669,746,France,Male,36,9,127157.04,1,1,1,155700.15,0
15758510,474,France,Male,26,6,0,2,0,0,152491.22,0
15632669,722,Spain,Female,32,4,0,2,1,1,113666.48,0
15599452,605,Germany,Female,43,8,125338.8,2,1,0,23970.13,0
15719541,675,Spain,Male,31,2,90826.27,2,1,0,60270.87,0
15580213,585,France,Female,43,2,0,2,1,0,89402.54,0
15674254,554,Spain,Female,45,4,0,2,1,1,193412.05,0
15774857,460,France,Female,27,7,0,2,1,0,156150.08,1
15600510,680,Spain,Female,37,6,124140.57,2,1,0,92826.35,0
15607230,588,Germany,Male,33,9,150186.22,2,1,1,65611.01,0
15607988,663,Germany,Female,37,8,155303.71,1,1,0,118716.63,0
15681026,795,Germany,Female,33,9,104552.72,1,1,1,120853.83,1
15576022,565,France,Male,38,5,0,2,0,1,80630.32,0
15622470,772,Spain,Male,41,10,96032.22,1,1,1,75825.57,0
15718852,794,France,Male,56,9,96951.21,1,1,1,71776.76,0
15629885,850,France,Female,33,7,118004.26,1,1,0,183983.82,0
15680112,473,Germany,Female,35,7,131504.73,1,1,0,189560.43,0
15576928,573,France,Female,23,2,0,1,1,0,122964.18,0
15800514,477,Germany,Female,24,2,95675.62,2,0,0,162699.70,1
15713604,425,Germany,Male,40,9,166776.6,2,0,1,172646.88,0
15570859,626,Germany,Male,36,2,181671.16,2,1,1,57531.14,0
15635244,716,France,Female,29,6,0,2,1,1,98998.61,0
15812422,637,France,Male,41,2,0,2,0,1,102515.42,0
15621435,623,France,Female,39,1,160903.2,1,0,0,78774.36,0
15723217,616,France,Male,37,9,0,1,1,0,111312.96,0
15688337,721,France,Male,40,9,118129.87,1,1,1,160277.65,0
15745533,799,France,Female,63,1,110314.21,2,1,0,37464.00,1
15611171,740,France,Male,33,1,129574.98,1,1,1,123300.38,0
15750731,736,Germany,Male,50,9,116309.01,1,1,0,185360.40,1
15575391,677,France,Female,37,3,0,2,1,1,38252.25,0
15785290,542,France,Male,29,9,0,1,1,0,8342.35,0
15756333,642,France,Female,55,7,0,2,1,1,101515.76,0
15575605,725,France,Male,38,6,0,2,1,1,158697.28,0
15645095,674,France,Female,28,3,0,1,1,0,51536.99,0
15708256,803,France,Male,28,3,0,2,1,0,159654.00,0
15565806,532,France,Male,38,9,0,2,0,0,30583.95,0
15599004,655,Spain,Male,37,1,0,1,1,1,106040.97,0
15638882,710,Germany,Female,62,9,148214.36,1,1,0,48571.14,1
15797919,773,Spain,Male,37,2,103195.2,2,1,0,178268.36,0
15704651,514,France,Male,26,1,0,2,0,0,121551.93,0
15805769,656,Spain,Male,33,4,0,2,1,0,116706.00,0
15800061,495,Spain,Female,45,3,89158.94,3,1,0,135169.76,1
15599126,529,France,Female,43,0,123815.86,1,1,1,78463.99,1
15651883,794,Germany,Female,55,6,115796.7,1,1,0,160526.36,1
15729201,682,France,Male,55,9,0,1,1,0,153356.80,1
15766659,525,Spain,Male,33,5,0,2,1,0,161002.29,0
15756954,538,France,Female,32,2,0,1,1,1,80130.54,0
15590730,745,Spain,Male,34,9,0,2,1,0,50046.25,0
15775490,660,France,Female,38,5,110570.78,2,1,0,195906.59,0
15635775,781,France,Male,33,3,89276.48,1,1,0,6959.00,0
15776596,730,Spain,Female,39,6,140094.59,1,1,0,172450.04,1
15805212,806,France,Female,67,1,0,2,0,1,103945.58,0
15787655,707,France,Male,47,3,0,2,1,0,174303.29,0
15700487,805,France,Male,46,6,118022.06,3,1,0,162643.15,1
15773751,597,France,Female,29,1,132144.35,1,1,0,158086.33,0
15568044,508,France,Female,31,7,0,2,1,1,6123.15,0
15570004,850,France,Male,31,3,0,2,1,0,121866.87,0
15570051,775,Germany,Female,38,6,179886.41,2,0,0,153122.58,0
15573045,547,France,Male,62,10,127738.75,2,1,1,85153.00,0
15730540,794,Spain,Male,45,8,88656.37,2,1,0,116547.31,0
15665180,616,France,Female,31,3,136789.14,1,1,0,59346.40,1
15701265,559,Germany,Female,36,1,104356.94,2,0,1,54184.06,0
15637690,622,Germany,Female,34,7,98675.74,1,1,0,138906.85,1
15758056,558,France,Male,35,1,0,2,0,0,111687.57,0
15670163,666,France,Female,27,4,0,2,0,0,88751.45,0
15802368,608,France,Female,47,6,0,1,1,1,126012.57,0
15808689,850,France,Female,31,4,0,2,1,1,33082.81,0
15764537,703,France,Male,43,8,0,2,1,0,9704.66,0
15621818,747,Germany,Male,29,7,117726.33,1,1,1,175398.34,0
15584897,639,France,Female,31,3,98360.03,1,0,0,20973.80,0
15770101,766,Germany,Male,43,6,112088.04,2,1,1,36706.56,0
15711218,616,Germany,Male,39,2,121704.32,2,1,0,55556.30,0
