n,dataset,comparisons
10,1,22
10,2,24
10,3,25
10,4,24
10,5,25
10,6,24
10,7,24
10,8,22
10,9,23
10,10,22
20,1,62
20,2,66
20,3,66
20,4,62
20,5,64
20,6,66
20,7,64
20,8,63
20,9,61
20,10,66
30,1,109
30,2,114
30,3,113
30,4,115
30,5,106
30,6,110
30,7,111
30,8,111
30,9,112
30,10,115
40,1,168
40,2,171
40,3,167
40,4,167
40,5,165
40,6,160
40,7,165
40,8,163
40,9,164
40,10,163
50,1,228
50,2,225
50,3,223
50,4,226
50,5,219
50,6,222
50,7,226
50,8,221
50,9,229
50,10,224
60,1,285
60,2,284
60,3,275
60,4,282
60,5,277
60,6,280
60,7,282
60,8,277
60,9,279
60,10,284
70,1,344
70,2,335
70,3,343
70,4,339
70,5,344
70,6,347
70,7,349
70,8,339
70,9,342
70,10,345
80,1,402
80,2,403
80,3,409
80,4,404
80,5,398
80,6,405
80,7,404
80,8,404
80,9,404
80,10,408
90,1,481
90,2,471
90,3,468
90,4,470
90,5,481
90,6,484
90,7,475
90,8,477
90,9,467
90,10,482
100,1,544
100,2,546
100,3,541
100,4,539
100,5,539
100,6,548
100,7,537
100,8,534
100,9,549
100,10,545
