n,dataset,comparisons
10,1,22
10,2,25
10,3,22
10,4,24
10,5,23
10,6,23
10,7,23
10,8,25
10,9,23
10,10,23
20,1,65
20,2,59
20,3,65
20,4,67
20,5,65
20,6,68
20,7,63
20,8,66
20,9,64
20,10,64
30,1,112
30,2,112
30,3,111
30,4,112
30,5,110
30,6,113
30,7,112
30,8,109
30,9,114
30,10,114
40,1,162
40,2,170
40,3,167
40,4,163
40,5,166
40,6,168
40,7,164
40,8,165
40,9,163
40,10,165
50,1,227
50,2,216
50,3,220
50,4,222
50,5,223
50,6,224
50,7,223
50,8,222
50,9,227
50,10,226
60,1,279
60,2,283
60,3,272
60,4,272
60,5,277
60,6,278
60,7,279
60,8,275
60,9,287
60,10,282
70,1,350
70,2,336
70,3,346
70,4,347
70,5,340
70,6,342
70,7,336
70,8,351
70,9,344
70,10,335
80,1,412
80,2,399
80,3,403
80,4,416
80,5,408
80,6,400
80,7,408
80,8,418
80,9,406
80,10,388
90,1,468
90,2,478
90,3,473
90,4,470
90,5,466
90,6,470
90,7,483
90,8,475
90,9,475
90,10,466
100,1,542
100,2,547
100,3,540
100,4,542
100,5,543
100,6,537
100,7,541
100,8,543
100,9,535
100,10,538
