n,dataset,comparisons
10,1,23
10,2,29
10,3,24
10,4,26
10,5,27
10,6,27
10,7,24
10,8,26
10,9,25
10,10,27
20,1,73
20,2,67
20,3,73
20,4,77
20,5,71
20,6,82
20,7,75
20,8,73
20,9,74
20,10,76
30,1,133
30,2,131
30,3,138
30,4,134
30,5,132
30,6,139
30,7,133
30,8,135
30,9,134
30,10,139
40,1,203
40,2,203
40,3,203
40,4,206
40,5,202
40,6,210
40,7,207
40,8,201
40,9,209
40,10,204
50,1,288
50,2,278
50,3,275
50,4,288
50,5,273
50,6,285
50,7,288
50,8,279
50,9,284
50,10,288
60,1,362
60,2,359
60,3,349
60,4,365
60,5,352
60,6,365
60,7,357
60,8,362
60,9,364
60,10,359
70,1,447
70,2,453
70,3,447
70,4,453
70,5,446
70,6,438
70,7,446
70,8,457
70,9,439
70,10,444
80,1,539
80,2,530
80,3,534
80,4,540
80,5,536
80,6,523
80,7,529
80,8,541
80,9,529
80,10,545
90,1,624
90,2,640
90,3,629
90,4,631
90,5,620
90,6,630
90,7,648
90,8,641
90,9,630
90,10,634
100,1,733
100,2,720
100,3,723
100,4,737
100,5,720
100,6,726
100,7,726
100,8,727
100,9,721
100,10,723
