n,dataset,assignments
10,1,68
10,2,68
10,3,68
10,4,68
10,5,68
10,6,68
10,7,68
10,8,68
10,9,68
10,10,68
20,1,176
20,2,176
20,3,176
20,4,176
20,5,176
20,6,176
20,7,176
20,8,176
20,9,176
20,10,176
30,1,296
30,2,296
30,3,296
30,4,296
30,5,296
30,6,296
30,7,296
30,8,296
30,9,296
30,10,296
40,1,432
40,2,432
40,3,432
40,4,432
40,5,432
40,6,432
40,7,432
40,8,432
40,9,432
40,10,432
50,1,572
50,2,572
50,3,572
50,4,572
50,5,572
50,6,572
50,7,572
50,8,572
50,9,572
50,10,572
60,1,712
60,2,712
60,3,712
60,4,712
60,5,712
60,6,712
60,7,712
60,8,712
60,9,712
60,10,712
70,1,864
70,2,864
70,3,864
70,4,864
70,5,864
70,6,864
70,7,864
70,8,864
70,9,864
70,10,864
80,1,1024
80,2,1024
80,3,1024
80,4,1024
80,5,1024
80,6,1024
80,7,1024
80,8,1024
80,9,1024
80,10,1024
90,1,1184
90,2,1184
90,3,1184
90,4,1184
90,5,1184
90,6,1184
90,7,1184
90,8,1184
90,9,1184
90,10,1184
100,1,1344
100,2,1344
100,3,1344
100,4,1344
100,5,1344
100,6,1344
100,7,1344
100,8,1344
100,9,1344
100,10,1344
