customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15691111,648,Germany,Female,42,8,121980.56,2,1,0,4027.02,0
15635435,648,France,Female,54,9,120633.42,1,0,0,5924.38,1
15747960,733,France,Male,33,3,0,1,1,1,7666.73,0
15593601,734,France,Male,34,6,133598.4,1,1,1,13107.24,0
15801548,661,France,Female,31,7,144162.3,2,1,1,14490.79,0
15759717,763,Spain,Female,39,7,0,2,1,0,19458.75,0
15794493,641,Spain,Male,32,7,0,2,1,1,24267.28,0
15624013,541,France,Female,39,6,109844.81,1,1,0,25289.23,0
15712596,499,France,Male,31,4,0,1,1,0,25950.49,0
15779586,822,Germany,Female,46,3,115074.02,2,1,0,26249.86,0
15745543,687,France,Male,39,7,0,2,1,0,26848.25,0
15604355,519,France,Male,39,1,97700.02,1,1,1,30709.03,0
15643048,639,France,Male,66,0,0,2,0,1,42240.54,0
15602812,684,Germany,Female,44,2,133776.86,2,0,1,49865.04,0
15683977,687,Spain,Female,72,4,0,2,1,1,50267.69,0
15726490,782,Spain,Male,52,4,0,1,1,1,52759.82,1
15809227,850,France,Male,35,2,0,2,1,1,56991.66,0
15715715,799,Spain,Male,38,2,0,2,1,1,59297.34,0
15648272,658,Spain,Male,35,9,71829.34,1,1,1,68141.92,0
15575147,699,France,Male,22,9,99339,1,1,0,68297.61,1
15642041,727,Germany,Male,40,1,93051.64,2,1,0,71865.31,1
15795564,737,Germany,Male,31,5,121192.22,2,1,1,74890.58,0
15632551,625,Germany,Male,31,4,77743.01,2,1,0,75335.68,0
15626412,499,Spain,Male,39,6,0,2,1,1,81409.00,0
15745605,722,France,Female,47,2,88011.4,1,1,1,90655.94,1
15807709,714,Germany,Female,55,9,180075.22,1,1,1,100127.71,0
15617603,850,Germany,Male,30,5,123210.56,2,1,1,102180.27,0
15574324,568,Germany,Female,29,2,129177.01,2,0,1,104617.99,0
15600739,562,Spain,Female,35,0,0,2,1,0,119899.52,0
15689344,615,Spain,Male,42,4,0,3,0,1,120321.09,0
15792228,748,France,Male,60,0,152335.7,1,1,0,126743.33,1
15654230,526,Germany,Male,31,5,145537.21,1,1,0,132404.64,0
15601569,598,France,Female,40,2,171178.25,1,1,0,137980.58,1
15652626,826,France,Male,55,4,115285.85,1,1,0,140126.17,0
15596088,705,France,Female,50,4,77065.9,2,0,1,145159.26,0
15651352,529,France,Female,38,2,0,1,1,0,146388.85,1
15612494,359,France,Female,44,6,128747.69,1,1,0,146955.71,1
15665376,647,Germany,Female,35,3,166518.63,2,1,0,147930.46,0
15774586,692,Germany,Female,43,10,118588.83,1,1,1,161241.65,1
15598892,828,France,Male,30,4,73070.18,2,0,0,161671.15,0
15755863,630,Spain,Female,49,1,0,2,0,1,162858.29,0
15611223,752,Germany,Female,38,10,101648.5,2,1,0,172001.44,0
15579820,704,Spain,Male,38,6,106687.76,1,1,0,173776.50,0
15778884,809,France,Female,38,2,154763.21,2,1,1,174800.31,0
15610337,666,Spain,Male,35,2,104832.49,1,1,0,175015.12,0
15757837,584,Germany,Male,33,3,88311.48,2,1,1,177651.38,0
15597957,614,Spain,Male,66,2,0,2,0,1,180082.70,0
15756481,636,France,Female,39,3,118336.14,1,1,0,184691.77,0
15776433,730,Spain,Male,62,2,0,2,1,1,186489.95,0
15662063,746,France,Male,36,7,142400.77,1,1,1,193438.69,0
