n,avg_age_comp,avg_name_comp,avg_combined_comp,avg_age_assign,avg_name_assign,avg_combined_assign
10,23.50,23.30,25.80,68.00,68.00,68.00
20,64.00,64.60,74.10,176.00,176.00,176.00
30,111.60,111.90,134.80,296.00,296.00,296.00
40,165.30,165.30,204.80,432.00,432.00,432.00
50,224.30,223.00,282.60,572.00,572.00,572.00
60,280.50,278.40,359.40,712.00,712.00,712.00
70,342.70,342.70,447.00,864.00,864.00,864.00
80,404.10,405.80,534.60,1024.00,1024.00,1024.00
90,475.60,472.40,632.70,1184.00,1184.00,1184.00
100,542.20,540.80,725.60,1344.00,1344.00,1344.00
