driver,q1
BIA,131.051
MAL,131.261
HUL,131.267
CHI,132.566
GUT,133.414
LOT,133.469
ERI,134.438
HAM,85.363
ROS,85.493
BOT,86.012
MAS,85.528
MAG,86.337
BUT,86.328
ALO,86.514
VET,86.631
RIC,86.721
PER,86.569
KVY,86.261
RAI,86.689
VER,86.140
HUL,86.371
SUT,87.034
GUT,86.999
MAL,87.520
GRO,87.632
KOB,87.671
BIA,87.738
CHI,88.247
ERI,88.562
HAM,106.921
ROS,107.244
RIC,107.488
VET,107.476
ALO,106.889
MAS,107.615
RAI,106.685
BOT,107.196
MAG,107.976
KVY,107.656
BUT,107.161
VER,107.407
HUL,107.370
GUT,107.970
PER,108.143
GRO,107.862
SUT,108.324
MAL,109.063
BIA,109.440
KOB,110.405
CHI,110.473
