Name,LapTime
ANT (Lap 1),85.264
COL (Lap 1),85.775
NOR (Lap 1),87.238
STR (Lap 1),79.603
STR (Lap 2),79.480
LAW (Lap 1),82.585
PIA (Lap 1),92.677
STR (Lap 3),90.173
PIA (Lap 2),86.486
BOT (Lap 1),85.334
HUL (Lap 1),87.428
COL (Lap 2),87.597
BOR (Lap 1),79.266
SAI (Lap 1),83.044
GAS (Lap 1),90.908
HAM (Lap 1),82.388
PIA (Lap 3),87.695
ALB (Lap 1),92.772
HAD (Lap 1),82.134
BOR (Lap 2),77.495
BEA (Lap 1),88.599
PIA (Lap 4),89.042
SAI (Lap 2),89.782
STR (Lap 4),82.007
COL (Lap 3),79.042
PER (Lap 1),89.150
BOT (Lap 2),87.480
HAD (Lap 2),92.504
OCO (Lap 1),87.966
LEC (Lap 1),87.772
PER (Lap 2),89.870
SAI (Lap 3),78.563
SAI (Lap 4),84.662
NOR (Lap 2),77.611
BOT (Lap 3),90.449
COL (Lap 4),82.998
COL (Lap 5),82.719
PER (Lap 3),90.644
HAM (Lap 2),90.211
ANT (Lap 2),87.894
RUS (Lap 1),79.779
VER (Lap 1),85.447
COL (Lap 6),88.008
GAS (Lap 2),80.295
OCO (Lap 2),91.453
BOT (Lap 4),92.189
HAM (Lap 3),77.810
BOT (Lap 5),88.466
OCO (Lap 3),87.184
BOR (Lap 3),86.747
SAI (Lap 5),90.689
GAS (Lap 3),77.289
LAW (Lap 2),88.909
NOR (Lap 3),86.390
HUL (Lap 2),87.820
ANT (Lap 3),92.627
VER (Lap 2),92.559
ALB (Lap 2),87.145
LAW (Lap 3),88.537
NOR (Lap 4),81.127
OCO (Lap 4),84.793
ALO (Lap 1),82.140
RUS (Lap 2),82.628
LAW (Lap 4),79.013
LEC (Lap 2),81.972
NOR (Lap 5),90.709
LIN (Lap 1),84.313
HAM (Lap 4),80.201
LEC (Lap 3),85.573
VER (Lap 3),88.003
SAI (Lap 6),82.560
PIA (Lap 5),82.196
HAD (Lap 3),84.817
ALO (Lap 2),89.787
LIN (Lap 2),78.808
SAI (Lap 7),78.403
BOR (Lap 4),92.871
PER (Lap 4),78.448
RUS (Lap 3),87.066
VER (Lap 4),78.823
BEA (Lap 2),77.105
OCO (Lap 5),90.769
LAW (Lap 5),84.167
BEA (Lap 3),91.728
RUS (Lap 4),82.469
OCO (Lap 6),78.376
PER (Lap 5),78.398
ALB (Lap 3),90.455
ALO (Lap 3),79.922
HAD (Lap 4),83.106
