driver,q1
HAM,91.699
RIC,90.775
ROS,92.564
MAG,90.949
ALO,91.388
VER,93.488
HUL,93.893
KVY,93.777
MAS,91.228
BOT,91.601
BUT,91.396
RAI,92.439
VET,91.931
SUT,93.673
KOB,94.274
PER,94.141
CHI,94.293
BIA,94.794
GUT,95.117
ERI,95.157
GRO,96.993
HAM,117.202
VET,117.654
ROS,117.183
ALO,118.889
RIC,118.913
RAI,119.257
HUL,118.883
MAG,120.356
VER,121.689
BUT,120.889
KVY,121.175
GUT,121.134
MAS,120.047
PER,120.076
BOT,119.709
GRO,120.202
MAL,122.074
SUT,122.131
BIA,122.702
KOB,123.595
CHI,124.388
ERI,124.407
ROS,95.439
HAM,95.323
RIC,96.22
BOT,94.934
PER,94.998
RAI,95.234
BUT,95.699
MAS,95.085
MAG,95.288
ALO,95.251
VET,95.549
HUL,94.874
KVY,95.395
VER,95.815
GUT,96.567
GRO,96.654
MAL,96.663
SUT,96.84
KOB,97.085
BIA,97.31
ERI,97.875
CHI,97.913
HAM,115.516
RIC,116.641
VET,115.926
ROS,116.058
ALO,116.961
MAS,116.85
BOT,116.501
HUL,115.913
VER,117.477
GRO,118.411
RAI,118.279
BUT,117.783
KVY,117.261
SUT,118.138
MAG,117.369
PER,118.362
GUT,118.988
KOB,119.26
BIA,119.326
ERI,120.646
CHI,120.865
HAM,87.238
ROS,86.764
RIC,88.053
BOT,88.198
GRO,88.472
RAI,88.308
ALO,88.329
BUT,88.279
MAS,88.061
VET,87.958
HUL,88.155
PER,88.469
KVY,88.074
GUT,88.374
MAG,88.389
VER,88.194
SUT,88.563
CHI,89.586
BIA,90.177
ERI,90.312
KOB,90.375
ROS,77.678
HAM,77.823
RIC,77.9
VET,78.383
ALO,77.853
RAI,77.902
VER,77.557
MAG,77.978
KVY,78.616
PER,78.108
HUL,78.432
BUT,77.89
BOT,78.407
GRO,78.335
MAL,78.585
MAS,78.209
GUT,78.741
SUT,78.745
BIA,79.332
CHI,79.928
KOB,80.133
ERI,81.732
ROS,76.471
HAM,75.75
VET,77.47
BOT,76.772
MAS,76.666
RIC,77.113
ALO,77.01
VER,77.178
BUT,76.631
RAI,77.013
HUL,76.897
MAG,76.446
PER,78.235
GRO,77.732
KVY,76.938
SUT,77.519
MAL,78.328
CHI,78.348
BIA,78.359
KOB,79.278
ERI,79.82
MAS,70.292
BOT,70.356
ROS,69.695
ALO,70.405
RIC,70.395
MAG,70.081
KVY,69.678
RAI,70.285
HAM,69.514
HUL,70.389
PER,70.124
BUT,70.252
VET,70.63
MAL,70.821
VER,70.161
GRO,70.461
SUT,70.825
GUT,71.349
BIA,71.412
KOB,71.673
CHI,71.775
ERI,72.673
ROS,100.38
VET,105.086
BUT,104.425
HUL,101.271
MAG,102.507
