n,dataset,comparisons
10,1,34
10,2,29
10,3,31
10,4,23
10,5,38
10,6,30
10,7,30
10,8,25
10,9,39
10,10,37
20,1,117
20,2,119
20,3,105
20,4,124
20,5,136
20,6,128
20,7,103
20,8,108
20,9,134
20,10,98
30,1,217
30,2,247
30,3,255
30,4,274
30,5,267
30,6,263
30,7,237
30,8,235
30,9,234
30,10,225
40,1,360
40,2,381
40,3,495
40,4,427
40,5,390
40,6,431
40,7,400
40,8,407
40,9,432
40,10,440
50,1,651
50,2,644
50,3,578
50,4,658
50,5,696
50,6,703
50,7,688
50,8,511
50,9,645
50,10,737
60,1,960
60,2,940
60,3,1008
60,4,852
60,5,934
60,6,826
60,7,920
60,8,949
60,9,961
60,10,939
70,1,1070
70,2,1179
70,3,1177
70,4,1211
70,5,1304
70,6,1289
70,7,1211
70,8,1236
70,9,1349
70,10,1390
80,1,1580
80,2,1621
80,3,1525
80,4,1752
80,5,1620
80,6,1607
80,7,1867
80,8,1783
80,9,1768
80,10,1631
90,1,2066
90,2,2136
90,3,2298
90,4,2243
90,5,1894
90,6,2036
90,7,2139
90,8,2081
90,9,2277
90,10,2273
100,1,2758
100,2,2553
100,3,2367
100,4,2753
100,5,2651
100,6,2570
100,7,2350
100,8,2554
100,9,2560
100,10,2739
