n,dataset,assignments
10,1,35
10,2,20
10,3,23
10,4,33
10,5,50
10,6,24
10,7,20
10,8,35
10,9,43
10,10,45
20,1,73
20,2,69
20,3,132
20,4,64
20,5,155
20,6,152
20,7,161
20,8,170
20,9,56
20,10,137
30,1,98
30,2,337
30,3,190
30,4,337
30,5,274
30,6,121
30,7,315
30,8,103
30,9,314
30,10,97
40,1,144
40,2,258
40,3,620
40,4,621
40,5,276
40,6,141
40,7,510
40,8,537
40,9,426
40,10,184
50,1,340
50,2,668
50,3,856
50,4,341
50,5,188
50,6,462
50,7,312
50,8,409
50,9,470
50,10,989
60,1,626
60,2,1367
60,3,1057
60,4,770
60,5,928
60,6,549
60,7,645
60,8,1433
60,9,294
60,10,994
70,1,869
70,2,2053
70,3,896
70,4,892
70,5,1368
70,6,1032
70,7,2016
70,8,684
70,9,1890
70,10,893
80,1,1115
80,2,2671
80,3,1189
80,4,1750
80,5,1532
80,6,1768
80,7,776
80,8,2622
80,9,1141
80,10,1364
90,1,1566
90,2,2784
90,3,1471
90,4,1887
90,5,1596
90,6,1605
90,7,2982
90,8,1416
90,9,1806
90,10,1758
100,1,2478
100,2,2455
100,3,1448
100,4,2075
100,5,3406
100,6,2478
100,7,2455
100,8,1448
100,9,2075
100,10,3406
