Position,Name,LapTime
1,HUL (Lap 1),77.127
2,LEC (Lap 3),77.705
3,COL (Lap 3),77.897
4,GAS (Lap 2),77.912
5,ANT (Lap 3),78.135
6,LIN (Lap 1),78.294
7,OCO (Lap 1),78.781
8,ALB (Lap 1),78.822
9,LAW (Lap 1),78.968
10,COL (Lap 2),79.713
11,BEA (Lap 1),80.149
12,RUS (Lap 2),80.958
13,HUL (Lap 3),81.745
14,ALO (Lap 1),82.064
15,PER (Lap 1),82.106
16,GAS (Lap 3),82.808
17,BOT (Lap 1),83.641
18,VER (Lap 3),83.826
19,OCO (Lap 2),84.182
20,STR (Lap 2),84.236
21,VER (Lap 2),85.145
22,STR (Lap 1),87.275
23,SAI (Lap 1),87.286
24,LIN (Lap 2),87.550
25,RUS (Lap 3),87.576
26,NOR (Lap 1),87.833
27,BOR (Lap 1),87.841
28,GAS (Lap 1),88.166
29,HUL (Lap 2),88.620
30,BOR (Lap 2),89.421
31,LEC (Lap 2),89.992
32,COL (Lap 1),90.048
33,COL (Lap 4),90.158
34,ANT (Lap 2),90.658
35,VER (Lap 1),90.982
36,BOR (Lap 3),91.441
37,LEC (Lap 1),91.676
38,RUS (Lap 1),91.915
39,ANT (Lap 1),92.113
40,LIN (Lap 3),92.283
