Position,driver,q1
1,SUT,79.142
2,BIA,79.676
3,MAL,80.195
4,KOB,80.408
5,CHI,80.489
6,VER,84.941
7,ROS,85.227
8,KVY,85.361
9,HAM,85.363
10,ROS,85.493
11,RIC,85.495
12,MAS,85.528
13,VET,85.662
14,BOT,85.690
15,GUT,85.709
16,PER,85.910
17,BOT,86.012
18,SUT,86.027
19,ALO,86.087
20,GRO,86.136
21,VER,86.140
22,HUL,86.149
23,KVY,86.261
24,BUT,86.328
25,MAG,86.337
26,HUL,86.371
27,ALO,86.514
28,PER,86.569
29,MAG,86.578
30,MAS,86.592
31,BUT,86.612
32,VET,86.631
33,RAI,86.689
34,RIC,86.721
35,BIA,86.728
36,RAI,86.792
37,GUT,86.999
38,SUT,87.034
39,KOB,87.139
40,MAL,87.520
41,GRO,87.632
42,KOB,87.671
43,BIA,87.738
44,CHI,87.819
45,CHI,88.247
46,ERI,88.562
47,ERI,88.643
48,HAM,106.921
49,ROS,127.130
50,HAM,127.280
51,MAS,128.403
52,BOT,129.250
53,VER,129.811
54,RAI,129.885
55,RIC,130.089
56,VET,130.105
57,ALO,130.197
58,KVY,130.445
59,BUT,130.529
60,PER,130.666
61,GRO,130.898
62,SUT,131.051
63,BIA,131.051
64,MAG,131.081
65,MAL,131.261
66,HUL,131.267
67,CHI,132.566
68,GUT,133.414
69,LOT,133.469
70,ERI,134.438
